manga_title	speaker	balloon_count
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 2	giorno	38
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 2	trish->mista	26
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 2	diavolo->buccellati	16
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 2	mista->trish	11
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 2	turtle->polnareff	5
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 2	sound	5
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 2	diavolo	3
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 2	king_crimson	3
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 2	mista->trish	2
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 2	Giorno	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 2	sound	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 2	trish->mista	1
