manga_title	speaker	balloon_count
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 1	diavolo	23
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 1	trish	17
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 1	giorno gold_experience_requiem	11
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 1	diavolo	9
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 1	diavolo king_crimson	9
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 1	mista	5
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 1	mista	2
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 1	king_crimson	1
