manga_title	speaker	balloon_count
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 3	king_crimson	30
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 3	diavolo->buccellati	17
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 3	trish->mista	16
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 3	giorno	6
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 3	mista->trish	5
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 3	turtle->polnareff	3
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 3	diavolo	2
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 3	spice_girl	2
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 3	trish->mista	2
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 3	silver_chariot	2
