manga_title	speaker	balloon_count
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 2	diavolo	40
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 2	gold_experience_requiem	12
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 2	diavolo king_crimson	4
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 2	birds	4
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 2	trish	2
JoJo's Bizarre Adventure Part 5: Golden Wind - GOLD EXPERIANCE REQUIEM PART 2	giorno gold_experience_requiem	1
