manga_title	speaker	balloon_count
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	trish	26
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	diavolo	17
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	king_crimson	12
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	giorno	7
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	spice_girl	6
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	spice_girl	3
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	buccellati	2
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	bucciarati	2
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	narractor	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	Diavolo	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	NARRACTOR	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	all	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 4	bucciarti	1
