manga_title	speaker	balloon_count
JoJo's Bizarre Adventure Part 5: Golden Wind - KING OF KINGS	diavolo	55
JoJo's Bizarre Adventure Part 5: Golden Wind - KING OF KINGS	trish	19
JoJo's Bizarre Adventure Part 5: Golden Wind - KING OF KINGS	mista	11
JoJo's Bizarre Adventure Part 5: Golden Wind - KING OF KINGS	bucciarati	5
JoJo's Bizarre Adventure Part 5: Golden Wind - KING OF KINGS	gold_experience	5
JoJo's Bizarre Adventure Part 5: Golden Wind - KING OF KINGS	dog	2
JoJo's Bizarre Adventure Part 5: Golden Wind - KING OF KINGS	giorno	2
JoJo's Bizarre Adventure Part 5: Golden Wind - KING OF KINGS	people	1
JoJo's Bizarre Adventure Part 5: Golden Wind - KING OF KINGS	king_crimson	1
