manga_title	speaker	balloon_count
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	giorno	39
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	king_crimson	25
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	group	16
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	trish	10
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	Trish->mista	9
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	guido-mista	8
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	diavolo->buccellati	7
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	mole	7
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	trish->mista	7
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	trish->Mista	5
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	narrator	4
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	diavolo	4
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	guido-mista->Trish	4
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	turtle	3
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	turtle->polnareff	3
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	mista->trisha	3
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	guido-mista maybetrish	2
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	diavolo	2
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	buccellati	2
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	trish	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	Symbols	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	trish or guido-mista	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	mista	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	polnareff	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	gold-experience	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	mista->trish	1
JoJo's Bizarre Adventure Part 5: Golden Wind - DIAVOLO EMERGES PART 1	symbols	1
