rank	word	count
1	last	5
2	taste	4
3	we're	4
4	let's	4
5	giorno	4
6	hey	3
7	good	3
8	eat	3
9	right	3
10	coliseum	3
11	guys	2
12	bad	2
13	stop	2
14	talking	2
15	mista	2
16	trying	2
17	ugh	2
18	victors	2
19	still	2
20	fine	2
21	victory	2
22	sleeping	2
23	slave	2
24	gold	1
25	experience	1
26	requiem	1
27	part	1
28	listen	1
29	thinking	1
30	night	1
31	human	1
32	flesh	1
33	ate	1
34	hell	1
35	bringing	1
36	outta	1
37	nowhere	1
38	bugger	1
39	off	1
40	yourself	1
41	we've	1
42	done	1
43	going	1
44	already	1
45	buccellati's	1
46	soul	1
47	body's	1
48	hurt	1
49	he's	1
50	probably	1
