rank	word	count
1	right	13
2	arrow	13
3	requiem	12
4	scritch	12
5	else	10
6	trish	10
7	snort	10
8	soul	8
9	see	8
10	away	8
11	giorno	8
12	gun	8
13	it's	7
14	nobody	7
15	closer	7
16	don't	7
17	got	6
18	i'm	6
19	time	6
20	because	6
21	huh	6
22	stay	6
23	some-thing	5
24	symbols	5
25	weird	5
26	happened	5
27	find	5
28	buccellati	5
29	other	5
30	narancia	5
31	diavolo	4
32	any	4
33	body	4
34	thearrow	4
35	happen	4
36	mista	4
37	way	4
38	gonna	4
39	yes	4
40	where	4
41	need	4
42	line	4
43	ever	4
44	approached	4
45	he's	4
46	hell	3
47	doesn't	3
48	like	3
49	either	3
50	fear	3
