rank	word	count
1	muda	24
2	swir	14
3	time	5
4	requiem	5
5	reality	5
6	forecast	4
7	king	4
8	crimson	4
9	erased	4
10	giorno	4
11	chosen	3
12	diavolo	3
13	am	3
14	actions	2
15	it's	2
16	impos-sible	2
17	reversing	2
18	damn	2
19	still	2
20	take	2
21	gio-vanna	2
22	oh	2
23	wh	2
24	looking	2
25	none	2
26	within	2
27	indeed	2
28	occur	2
29	gold	2
30	experience	2
31	giovanna	2
32	haven’t	2
33	moved	2
34	inch	2
35	where	2
36	started	2
37	won	1
38	moment	1
39	faster	1
40	shows	1
41	punching	1
42	straight	1
43	through	1
44	heart	1
45	future	1
46	wha	1
47	caaw	1
48	caaaww	1
49	caaww	1
50	aaawwwk	1
