rank	word	count
1	shadow	20
2	arrow	14
3	mista	11
4	time	8
5	method	8
6	soul	7
7	he's	7
8	don't	7
9	knows	6
10	requiem	6
11	light	6
12	shoot	5
13	can't	5
14	diavolo	4
15	make	4
16	body	4
17	attacking	4
18	look	4
19	takes	4
20	let	4
21	first	4
22	it's	4
23	own	4
24	every	4
25	souls	4
26	giorno	3
27	king	3
28	crimson	3
29	run	3
30	stand	3
31	move	3
32	running	3
33	already	3
34	any	3
35	requiem's	3
36	secret	3
37	moves	3
38	meteorite	2
39	strikes	2
40	greenland	2
41	kuh	2
42	emerges	2
43	part	2
44	control	2
45	sticky	2
46	fingers	2
47	discovered	2
48	gonna	2
49	wh	2
50	wha	2
