rank	word	count
1	arrow	12
2	never	5
3	able	4
4	king	4
5	bullets	4
6	broke	3
7	behind	3
8	requiem	3
9	crimson	3
10	it's	3
11	went	3
12	past	3
13	trish	3
14	something	2
15	touch	2
16	filthy	2
17	predicted	2
18	anyone	2
19	because	2
20	learned	2
21	arrow's	2
22	true	2
23	ability	2
24	fate	2
25	time	2
26	overcome	2
27	beyond	2
28	i'm	2
29	closer	2
30	only	2
31	diavolo	1
32	emerges	1
33	part	1
34	own	1
35	head	1
36	there's	1
37	peeking	1
38	cracks	1
39	antis	1
40	bugs	1
41	crawling	1
42	giorno's	1
43	life	1
44	engery	1
45	good	1
46	far	1
47	we'll	1
48	hurry	1
49	make	1
50	way	1
