rank	word	count
1	reality	10
2	arrow	9
3	gold	8
4	requiem	8
5	that's	7
6	giorno	6
7	giorno's	5
8	actions	5
9	able	4
10	see	4
11	apex	4
12	time	4
13	experience	3
14	am	3
15	arrow's	3
16	never	3
17	again	3
18	boss	3
19	power	3
20	born	3
21	don't	3
22	forecast	3
23	attack	3
24	ability	3
25	king	3
26	crimson	3
27	upon	3
28	looking	2
29	smashed	2
30	head	2
31	open	2
32	giovanna	2
33	ah	2
34	righteous	2
35	annihilated	2
36	end	2
37	escape	2
38	annihilation	2
39	what's	2
40	going	2
41	gonna	2
42	tell	2
43	control	2
44	it's	2
45	attacks	2
46	overcome	2
47	diavolo	2
48	erased	2
49	everyone	2
50	myself	2
