rank	word	count
1	arrow	20
2	giorno	18
3	who	16
4	it's	16
5	don't	15
6	that's	14
7	chariot	13
8	i'm	12
9	you're	12
10	if	12
11	boss	12
12	diavolo	12
13	stand	11
14	one	10
15	all	10
16	narancia	10
17	bucciarati	10
18	what's	9
19	why	9
20	from	9
21	where	9
22	happened	9
23	right	9
24	there's	9
25	there	8
26	going	8
27	get	8
28	can't	8
29	hell	8
30	minds	8
31	know	8
32	can	7
33	swapped	7
34	thing	7
35	how	6
36	wait	6
37	see	6
38	hurt	6
39	up	6
40	tell	6
41	trish	6
42	body	6
43	got	6
44	even	6
45	li'l	6
46	bomber	6
47	able	6
48	power	6
49	wh-what	5
50	asleep	5
