rank	word	count
1	mista	28
2	b*ll*ts	21
3	if	19
4	i'm	19
5	truck	16
6	now	16
7	up	16
8	b*llet	15
9	right	13
10	shot	13
11	can	13
12	let	12
13	stop	12
14	it's	11
15	going	11
16	you're	11
17	one	11
18	all	10
19	he's	10
20	back	10
21	four	10
22	only	10
23	go	9
24	because	9
25	how	9
26	left	9
27	too	8
28	damn	8
29	way	8
30	out	8
31	into	8
32	from	8
33	mouth	8
34	get	7
35	like	7
36	even	7
37	things	7
38	about	7
39	b*stard	7
40	there	7
41	that's	7
42	stand	7
43	number	7
44	don't	7
45	shoot	6
46	little	6
47	as	6
48	hell	6
49	time	6
50	told	6
