rank	word	count
1	you're	19
2	from	17
3	can	16
4	i'm	15
5	out	12
6	bucciarati	12
7	colosseum	12
8	going	11
9	don't	11
10	think	11
11	meters	11
12	i'll	10
13	there	10
14	now	10
15	get	10
16	take	9
17	can't	9
18	he's	9
19	know	9
20	even	8
21	body	8
22	away	8
23	here	8
24	who	8
25	as	7
26	too	7
27	it's	7
28	trying	7
29	if	7
30	sanctuary	6
31	thought	6
32	up	6
33	that's	6
34	why	6
35	all	6
36	zipper	6
37	sound	6
38	than	6
39	hell	6
40	right	6
41	into	6
42	hear	6
43	stay	6
44	arrow	6
45	mean	5
46	anymore	5
47	underground	5
48	guy	5
49	something	5
50	about	5
