rank	word	count
1	good	29
2	go	19
3	bucciarati	19
4	right	17
5	going	17
6	if	16
7	mista	15
8	get	15
9	it's	15
10	mold	15
11	can	14
12	that's	13
13	car	13
14	up	13
15	any	12
16	now	12
17	down	11
18	one	10
19	i'm	10
20	arri	10
21	as	9
22	stand	9
23	back	9
24	from	9
25	guy	9
26	see	8
27	secco	8
28	than	8
29	can't	8
30	all	8
31	out	8
32	village	8
33	rome	8
34	where	8
35	there	8
36	ground	8
37	b*ll*ts	8
38	helicopter	8
39	won't	7
40	more	7
41	three	7
42	giorno	7
43	about	7
44	into	7
45	what's	7
46	hey	7
47	bang	6
48	how	6
49	why	6
50	like	6
