rank	word	count
1	bucciarati	23
2	going	22
3	i'm	21
4	now	18
5	right	15
6	up	14
7	bro	13
8	hook	13
9	train	12
10	make	12
11	as	12
12	don't	11
13	heart	11
14	you're	10
15	he's	10
16	can	10
17	stop	9
18	from	9
19	that's	9
20	hell	8
21	how	8
22	prosciutto	8
23	one	8
24	tell	8
25	get	8
26	pesci	7
27	aging	7
28	go	7
29	line	7
30	out	7
31	can't	7
32	i'll	7
33	resolve	7
34	through	7
35	know	6
36	able	6
37	even	6
38	man	6
39	way	6
40	hand	6
41	gonna	6
42	ability	5
43	trish	5
44	managed	5
45	thought	5
46	zipper	5
47	it's	5
48	feel	5
49	turtle	5
50	once	5
