anime_title	speaker	line_count
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Bruno	12
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Fugo	87
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Abba	85
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Illu	43
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign bot	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Sign top	1
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Creep	9
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Guy	6
JoJo's Bizarre Adventure: Golden Wind - Episode 01 (Gold Experience)	Illuso	11
